E36312A exported datalog
File type: CSV

"Sample interval: 0.200000"
"Number of sample: 150/150"
"Trigger sample: 0"
"Date: 2001/05/16 12:16:41"

"V1: 2.000000, 0.000000"
"I1: 1.000000, 0.000000"
"P1: 2.000000, 0.000000"
"V2: 5.000000, 0.000000"
"I2: 1.000000, 0.000000"
"P2: 2.000000, 0.000000"
"V3: 5.000000, 0.000000"
"I3: 1.000000, 0.000000"
"P3: 2.000000, 0.000000"

Sample,"Volt avg 1","Volt min 1","Volt max 1","Curr avg 1","Curr min 1","Curr max 1"
0,5.000440,5.000440,5.000440,0.636550,0.636550,0.636550
1,5.000440,5.000440,5.000440,0.633620,0.633620,0.633620
2,5.000640,5.000640,5.000640,0.635900,0.635900,0.635900
3,5.000640,5.000640,5.000640,0.637370,0.637370,0.637370
4,5.000440,5.000440,5.000440,0.635410,0.635410,0.635410
5,5.000440,5.000440,5.000440,0.637700,0.637700,0.637700
6,5.000640,5.000640,5.000640,0.633450,0.633450,0.633450
7,5.000640,5.000640,5.000640,0.637210,0.637210,0.637210
8,5.000640,5.000640,5.000640,0.634920,0.634920,0.634920
9,5.000640,5.000640,5.000640,0.636070,0.636070,0.636070
10,5.000640,5.000640,5.000640,0.637860,0.637860,0.637860
11,5.000640,5.000640,5.000640,0.634270,0.634270,0.634270
12,5.000640,5.000640,5.000640,0.636720,0.636720,0.636720
13,5.000640,5.000640,5.000640,0.635090,0.635090,0.635090
14,5.000440,5.000440,5.000440,0.635250,0.635250,0.635250
15,5.000640,5.000640,5.000640,0.636070,0.636070,0.636070
16,5.000640,5.000640,5.000640,0.633450,0.633450,0.633450
17,5.000640,5.000640,5.000640,0.633940,0.633940,0.633940
18,5.000640,5.000640,5.000640,0.635250,0.635250,0.635250
19,5.000640,5.000640,5.000640,0.638680,0.638680,0.638680
20,5.000640,5.000640,5.000640,0.636390,0.636390,0.636390
21,5.000640,5.000640,5.000640,0.635250,0.635250,0.635250
22,5.000640,5.000640,5.000640,0.635250,0.635250,0.635250
23,5.000640,5.000640,5.000640,0.635090,0.635090,0.635090
24,5.000640,5.000640,5.000640,0.245340,0.245340,0.245340
25,5.000640,5.000640,5.000640,0.237350,0.237350,0.237350
26,5.000640,5.000640,5.000640,0.237510,0.237510,0.237510
27,5.000640,5.000640,5.000640,0.237180,0.237180,0.237180
28,5.000440,5.000440,5.000440,0.237350,0.237350,0.237350
29,5.000440,5.000440,5.000440,0.239790,0.239790,0.239790
30,5.000640,5.000640,5.000640,0.245510,0.245510,0.245510
31,5.000640,5.000640,5.000640,0.253830,0.253830,0.253830
