E36312A exported datalog
File type: CSV

"Sample interval: 0.200000"
"Number of sample: 150/150"
"Trigger sample: 0"
"Date: 2001/05/16 12:18:45"

"V1: 2.000000, 0.000000"
"I1: 1.000000, 0.000000"
"P1: 2.000000, 0.000000"
"V2: 5.000000, 0.000000"
"I2: 1.000000, 0.000000"
"P2: 2.000000, 0.000000"
"V3: 5.000000, 0.000000"
"I3: 1.000000, 0.000000"
"P3: 2.000000, 0.000000"

Sample,"Volt avg 1","Volt min 1","Volt max 1","Curr avg 1","Curr min 1","Curr max 1"
0,5.000640,5.000640,5.000640,0.612240,0.612240,0.612240
1,5.000640,5.000640,5.000640,0.616640,0.616640,0.616640
2,5.000640,5.000640,5.000640,0.641290,0.641290,0.641290
3,5.000640,5.000640,5.000640,0.653690,0.653690,0.653690
4,5.000640,5.000640,5.000640,0.668050,0.668050,0.668050
5,5.000640,5.000640,5.000640,0.674420,0.674420,0.674420
6,5.000440,5.000440,5.000440,0.697270,0.697270,0.697270
7,5.000640,5.000640,5.000640,0.714410,0.714410,0.714410
8,5.000640,5.000640,5.000640,0.725010,0.725010,0.725010
9,5.000640,5.000640,5.000640,0.733010,0.733010,0.733010
10,5.000640,5.000640,5.000640,0.755040,0.755040,0.755040
11,5.000640,5.000640,5.000640,0.775120,0.775120,0.775120
12,5.000640,5.000640,5.000640,0.795520,0.795520,0.795520
13,5.000640,5.000640,5.000640,0.804500,0.804500,0.804500
14,5.000440,5.000440,5.000440,0.814130,0.814130,0.814130
15,5.000640,5.000640,5.000640,0.831750,0.831750,0.831750
16,5.000640,5.000640,5.000640,0.855420,0.855420,0.855420
17,5.000640,5.000640,5.000640,0.861950,0.861950,0.861950
18,5.000640,5.000640,5.000640,0.876310,0.876310,0.876310
19,5.000640,5.000640,5.000640,0.888880,0.888880,0.888880
20,5.000640,5.000640,5.000640,0.915320,0.915320,0.915320
21,5.000640,5.000640,5.000640,0.919230,0.919230,0.919230
22,5.000640,5.000640,5.000640,0.942900,0.942900,0.942900
23,5.000640,5.000640,5.000640,0.955460,0.955460,0.955460
24,5.000640,5.000640,5.000640,0.971460,0.971460,0.971460
25,5.000640,5.000640,5.000640,0.977660,0.977660,0.977660
26,5.000640,5.000640,5.000640,1.002310,1.002310,1.002310
27,5.000440,5.000440,5.000440,1.016830,1.016830,1.016830
28,5.000640,5.000640,5.000640,1.026950,1.026950,1.026950
29,5.000640,5.000640,5.000640,1.039030,1.039030,1.039030
30,5.000640,5.000640,5.000640,1.043920,1.043920,1.043920
31,5.000440,5.000440,5.000440,1.050940,1.050940,1.050940
32,5.000640,5.000640,5.000640,1.046050,1.046050,1.046050
33,5.000640,5.000640,5.000640,1.045560,1.045560,1.045560
34,5.000640,5.000640,5.000640,1.042940,1.042940,1.042940
35,5.000640,5.000640,5.000640,1.040820,1.040820,1.040820
36,5.000640,5.000640,5.000640,1.047190,1.047190,1.047190
37,5.000640,5.000640,5.000640,1.041480,1.041480,1.041480
38,5.000640,5.000640,5.000640,1.045230,1.045230,1.045230
39,5.000640,5.000640,5.000640,1.041480,1.041480,1.041480
40,5.000640,5.000640,5.000640,1.048660,1.048660,1.048660
41,5.000640,5.000640,5.000640,1.040990,1.040990,1.040990
42,5.000440,5.000440,5.000440,1.043430,1.043430,1.043430
43,5.000640,5.000640,5.000640,1.041150,1.041150,1.041150
44,5.000640,5.000640,5.000640,1.047190,1.047190,1.047190
45,5.000640,5.000640,5.000640,1.050130,1.050130,1.050130
46,5.000640,5.000640,5.000640,1.042940,1.042940,1.042940
47,5.000640,5.000640,5.000640,1.045720,1.045720,1.045720
48,5.000640,5.000640,5.000640,1.046210,1.046210,1.046210
49,5.000640,5.000640,5.000640,1.046860,1.046860,1.046860
50,5.000640,5.000640,5.000640,1.041150,1.041150,1.041150
51,5.000640,5.000640,5.000640,1.048820,1.048820,1.048820
52,5.000640,5.000640,5.000640,1.044090,1.044090,1.044090
53,5.000640,5.000640,5.000640,1.044900,1.044900,1.044900
54,5.000440,5.000440,5.000440,1.043430,1.043430,1.043430
55,5.000640,5.000640,5.000640,1.042450,1.042450,1.042450
56,5.000640,5.000640,5.000640,1.048820,1.048820,1.048820
57,5.000640,5.000640,5.000640,1.043430,1.043430,1.043430
58,5.000440,5.000440,5.000440,1.046210,1.046210,1.046210
59,5.000640,5.000640,5.000640,1.039030,1.039030,1.039030
60,5.000640,5.000640,5.000640,1.047020,1.047020,1.047020
61,5.000640,5.000640,5.000640,1.041150,1.041150,1.041150
62,5.000640,5.000640,5.000640,1.044090,1.044090,1.044090
63,5.000640,5.000640,5.000640,1.041150,1.041150,1.041150
64,5.000640,5.000640,5.000640,1.047680,1.047680,1.047680
65,5.000640,5.000640,5.000640,1.050290,1.050290,1.050290
66,5.000640,5.000640,5.000640,1.043600,1.043600,1.043600
67,5.000640,5.000640,5.000640,1.047510,1.047510,1.047510
68,5.000640,5.000640,5.000640,1.041150,1.041150,1.041150
69,5.000640,5.000640,5.000640,1.045880,1.045880,1.045880
70,5.000640,5.000640,5.000640,1.041970,1.041970,1.041970
71,5.000640,5.000640,5.000640,1.048980,1.048980,1.048980
72,5.000640,5.000640,5.000640,1.045560,1.045560,1.045560
73,5.000640,5.000640,5.000640,1.046370,1.046370,1.046370
74,5.000640,5.000640,5.000640,1.044410,1.044410,1.044410
75,5.000640,5.000640,5.000640,1.040820,1.040820,1.040820
76,5.000640,5.000640,5.000640,1.047510,1.047510,1.047510
77,5.000640,5.000640,5.000640,1.042940,1.042940,1.042940
78,5.000640,5.000640,5.000640,1.045880,1.045880,1.045880
79,5.000640,5.000640,5.000640,1.043110,1.043110,1.043110
80,5.000640,5.000640,5.000640,1.049150,1.049150,1.049150
81,5.000640,5.000640,5.000640,1.044410,1.044410,1.044410
82,5.000640,5.000640,5.000640,1.044900,1.044900,1.044900
83,5.000440,5.000440,5.000440,1.045560,1.045560,1.045560
84,5.000640,5.000640,5.000640,1.048980,1.048980,1.048980
85,5.000640,5.000640,5.000640,1.050780,1.050780,1.050780
86,5.000640,5.000640,5.000640,1.043920,1.043920,1.043920
87,5.000640,5.000640,5.000640,1.050130,1.050130,1.050130
88,5.000640,5.000640,5.000640,1.043920,1.043920,1.043920
89,5.000640,5.000640,5.000640,1.048660,1.048660,1.048660
90,5.000440,5.000440,5.000440,1.042450,1.042450,1.042450
91,5.000640,5.000640,5.000640,1.047840,1.047840,1.047840
92,5.000640,5.000640,5.000640,1.046050,1.046050,1.046050
93,5.000640,5.000640,5.000640,1.045070,1.045070,1.045070
94,5.000640,5.000640,5.000640,1.041480,1.041480,1.041480
95,5.000640,5.000640,5.000640,1.040660,1.040660,1.040660
96,5.000640,5.000640,5.000640,1.047190,1.047190,1.047190
97,5.000640,5.000640,5.000640,1.043600,1.043600,1.043600
98,5.000640,5.000640,5.000640,1.044740,1.044740,1.044740
99,5.000640,5.000640,5.000640,1.039350,1.039350,1.039350
100,5.000640,5.000640,5.000640,1.050620,1.050620,1.050620
101,5.000640,5.000640,5.000640,1.048490,1.048490,1.048490
102,5.000640,5.000640,5.000640,1.045880,1.045880,1.045880
103,5.000640,5.000640,5.000640,1.046050,1.046050,1.046050
104,5.000440,5.000440,5.000440,1.045230,1.045230,1.045230
105,5.000640,5.000640,5.000640,1.050290,1.050290,1.050290
106,5.000640,5.000640,5.000640,1.043920,1.043920,1.043920
107,5.000640,5.000640,5.000640,1.044740,1.044740,1.044740
108,5.000640,5.000640,5.000640,1.042450,1.042450,1.042450
109,5.000440,5.000440,5.000440,1.050620,1.050620,1.050620
110,5.000640,5.000640,5.000640,1.041480,1.041480,1.041480
111,5.000640,5.000640,5.000640,1.044410,1.044410,1.044410
112,5.000640,5.000640,5.000640,1.046700,1.046700,1.046700
113,5.000640,5.000640,5.000640,1.043430,1.043430,1.043430
114,5.000640,5.000640,5.000640,1.041970,1.041970,1.041970
115,5.000640,5.000640,5.000640,1.043110,1.043110,1.043110
116,5.000640,5.000640,5.000640,1.048820,1.048820,1.048820
117,5.000640,5.000640,5.000640,1.045880,1.045880,1.045880
118,5.000640,5.000640,5.000640,1.045720,1.045720,1.045720
119,5.000640,5.000640,5.000640,1.042450,1.042450,1.042450
120,5.000640,5.000640,5.000640,1.042130,1.042130,1.042130
121,5.000640,5.000640,5.000640,1.046370,1.046370,1.046370
122,5.000640,5.000640,5.000640,1.041480,1.041480,1.041480
123,5.000440,5.000440,5.000440,1.045070,1.045070,1.045070
124,5.000640,5.000640,5.000640,1.043760,1.043760,1.043760
125,5.000440,5.000440,5.000440,1.049640,1.049640,1.049640
126,5.000640,5.000640,5.000640,1.043110,1.043110,1.043110
127,5.000640,5.000640,5.000640,1.045880,1.045880,1.045880
128,5.000640,5.000640,5.000640,1.044250,1.044250,1.044250
129,5.000640,5.000640,5.000640,1.048820,1.048820,1.048820
130,5.000640,5.000640,5.000640,1.048660,1.048660,1.048660
131,5.000640,5.000640,5.000640,1.044410,1.044410,1.044410
132,5.000640,5.000640,5.000640,1.048000,1.048000,1.048000
133,5.000640,5.000640,5.000640,1.043760,1.043760,1.043760
134,5.000640,5.000640,5.000640,1.048000,1.048000,1.048000
135,5.000440,5.000440,5.000440,1.039190,1.039190,1.039190
136,5.000640,5.000640,5.000640,1.046700,1.046700,1.046700
137,5.000640,5.000640,5.000640,1.041800,1.041800,1.041800
138,5.000640,5.000640,5.000640,1.044740,1.044740,1.044740
139,5.000640,5.000640,5.000640,1.042290,1.042290,1.042290
140,5.000640,5.000640,5.000640,1.048330,1.048330,1.048330
141,5.000640,5.000640,5.000640,1.047350,1.047350,1.047350
142,5.000640,5.000640,5.000640,1.043760,1.043760,1.043760
143,5.000640,5.000640,5.000640,1.042780,1.042780,1.042780
144,5.000640,5.000640,5.000640,1.039350,1.039350,1.039350
145,5.000640,5.000640,5.000640,1.048660,1.048660,1.048660
146,5.000640,5.000640,5.000640,1.042940,1.042940,1.042940
147,5.000640,5.000640,5.000640,1.049640,1.049640,1.049640
148,5.000640,5.000640,5.000640,1.041970,1.041970,1.041970
149,5.000640,5.000640,5.000640,1.044410,1.044410,1.044410
