E36312A exported datalog
File type: CSV

"Sample interval: 0.200000"
"Number of sample: 150/150"
"Trigger sample: 0"
"Date: 2001/05/16 12:30:16"

"V1: 2.000000, 0.000000"
"I1: 1.000000, 0.000000"
"P1: 2.000000, 0.000000"
"V2: 5.000000, 0.000000"
"I2: 1.000000, 0.000000"
"P2: 2.000000, 0.000000"
"V3: 5.000000, 0.000000"
"I3: 1.000000, 0.000000"
"P3: 2.000000, 0.000000"

Sample,"Volt avg 1","Volt min 1","Volt max 1","Curr avg 1","Curr min 1","Curr max 1"
0,5.000640,5.000640,5.000640,1.028420,1.028420,1.028420
1,5.000640,5.000640,5.000640,1.027930,1.027930,1.027930
2,5.000640,5.000640,5.000640,1.028260,1.028260,1.028260
3,5.000640,5.000640,5.000640,1.027930,1.027930,1.027930
4,5.000640,5.000640,5.000640,1.028580,1.028580,1.028580
5,5.000640,5.000640,5.000640,1.025480,1.025480,1.025480
6,5.000640,5.000640,5.000640,1.029890,1.029890,1.029890
7,5.000640,5.000640,5.000640,1.024010,1.024010,1.024010
8,5.000640,5.000640,5.000640,1.025810,1.025810,1.025810
9,5.000640,5.000640,5.000640,1.027110,1.027110,1.027110
10,5.000640,5.000640,5.000640,1.028580,1.028580,1.028580
11,5.000640,5.000640,5.000640,1.027930,1.027930,1.027930
12,5.000640,5.000640,5.000640,1.028260,1.028260,1.028260
13,5.000640,5.000640,5.000640,1.031190,1.031190,1.031190
14,5.000640,5.000640,5.000640,1.027110,1.027110,1.027110
15,5.000640,5.000640,5.000640,1.026950,1.026950,1.026950
16,5.000640,5.000640,5.000640,1.028910,1.028910,1.028910
17,5.000640,5.000640,5.000640,1.025810,1.025810,1.025810
18,5.000640,5.000640,5.000640,1.024990,1.024990,1.024990
19,5.000640,5.000640,5.000640,1.028260,1.028260,1.028260
20,5.000640,5.000640,5.000640,1.029890,1.029890,1.029890
21,5.000640,5.000640,5.000640,1.027600,1.027600,1.027600
22,5.000640,5.000640,5.000640,1.028260,1.028260,1.028260
23,5.000640,5.000640,5.000640,1.031030,1.031030,1.031030
24,5.000640,5.000640,5.000640,1.028090,1.028090,1.028090
25,5.000640,5.000640,5.000640,1.027600,1.027600,1.027600
26,5.000640,5.000640,5.000640,1.032010,1.032010,1.032010
27,5.000640,5.000640,5.000640,1.026130,1.026130,1.026130
28,5.000640,5.000640,5.000640,1.026300,1.026300,1.026300
29,5.000640,5.000640,5.000640,1.026950,1.026950,1.026950
30,5.000640,5.000640,5.000640,1.030540,1.030540,1.030540
31,5.000640,5.000640,5.000640,1.024990,1.024990,1.024990
32,5.000640,5.000640,5.000640,1.028260,1.028260,1.028260
33,5.000640,5.000640,5.000640,1.027110,1.027110,1.027110
34,5.000640,5.000640,5.000640,1.027280,1.027280,1.027280
35,5.000640,5.000640,5.000640,1.025150,1.025150,1.025150
36,5.000640,5.000640,5.000640,1.028580,1.028580,1.028580
37,5.000640,5.000640,5.000640,1.028750,1.028750,1.028750
38,5.000640,5.000640,5.000640,1.027600,1.027600,1.027600
39,5.000640,5.000640,5.000640,1.026620,1.026620,1.026620
40,5.000640,5.000640,5.000640,1.030540,1.030540,1.030540
41,5.000640,5.000640,5.000640,1.025320,1.025320,1.025320
42,5.000640,5.000640,5.000640,1.025640,1.025640,1.025640
43,5.000640,5.000640,5.000640,1.030540,1.030540,1.030540
44,5.000640,5.000640,5.000640,1.031190,1.031190,1.031190
45,5.000640,5.000640,5.000640,1.026130,1.026130,1.026130
46,5.000640,5.000640,5.000640,1.029890,1.029890,1.029890
47,5.000640,5.000640,5.000640,1.028260,1.028260,1.028260
48,5.000640,5.000640,5.000640,1.024990,1.024990,1.024990
49,5.000640,5.000640,5.000640,1.029400,1.029400,1.029400
50,5.000640,5.000640,5.000640,1.027280,1.027280,1.027280
51,5.000640,5.000640,5.000640,1.027110,1.027110,1.027110
